"","FACILITYID","JUVENILE","SUSP","KNOWN","DIFF"
"1","10002798","NOT_JUVENILE",FALSE,FALSE,FALSE
"2","10002796","JUVENILE",TRUE,FALSE,TRUE
"3","10002836","NOT_JUVENILE",FALSE,FALSE,FALSE
"4","10003033","NOT_JUVENILE",TRUE,FALSE,TRUE
"5","10006288","JUVENILE",FALSE,FALSE,FALSE
"6","10005438","NOT_JUVENILE",FALSE,FALSE,FALSE
"7","10004413","NOT_JUVENILE",TRUE,FALSE,TRUE
"8","10003100","NOT_JUVENILE",TRUE,FALSE,TRUE
"9","10006806","NOT_JUVENILE",FALSE,FALSE,FALSE
"10","10005221","NOT_JUVENILE",TRUE,FALSE,TRUE
"11","10005850","NOT_JUVENILE",FALSE,FALSE,FALSE
"12","10005872","NOT_JUVENILE",TRUE,FALSE,TRUE
"13","10005564","NOT_JUVENILE",FALSE,FALSE,FALSE
"14","10004389","NOT_JUVENILE",TRUE,FALSE,TRUE
"15","10001287","JUVENILE",TRUE,FALSE,TRUE
"16","10005772","JUVENILE",TRUE,FALSE,TRUE
"17","10006287","JUVENILE",FALSE,FALSE,FALSE
"18","10001675","NOT_JUVENILE",FALSE,FALSE,FALSE
"19","10006914","NOT_JUVENILE",TRUE,FALSE,TRUE
"20","10005396","NOT_JUVENILE",FALSE,FALSE,FALSE
"21","10005885","NOT_JUVENILE",FALSE,FALSE,FALSE
"22","10002698","NOT_JUVENILE",TRUE,FALSE,TRUE
"23","10002832","NOT_JUVENILE",FALSE,FALSE,FALSE
"24","10002833","JUVENILE",FALSE,FALSE,FALSE
"25","10004420","NOT_JUVENILE",FALSE,FALSE,FALSE
"26","10006014","NOT_JUVENILE",TRUE,FALSE,TRUE
"27","10001789","NOT_JUVENILE",FALSE,FALSE,FALSE
"28","10004391","NOT_JUVENILE",FALSE,FALSE,FALSE
"29","10002932","NOT_JUVENILE",FALSE,FALSE,FALSE
"30","10005223","NOT_JUVENILE",TRUE,FALSE,TRUE
"31","10005500","NOT_JUVENILE",TRUE,FALSE,TRUE
"32","10004187","NOT_JUVENILE",TRUE,FALSE,TRUE
"33","10006915","NOT_JUVENILE",TRUE,FALSE,TRUE
"34","10001613","NOT_JUVENILE",TRUE,FALSE,TRUE
"35","10005388","NOT_JUVENILE",FALSE,FALSE,FALSE
"36","10004362","NOT_JUVENILE",FALSE,FALSE,FALSE
"37","10002745","NOT_JUVENILE",FALSE,FALSE,FALSE
"38","10002907","NOT_JUVENILE",TRUE,FALSE,TRUE
"39","10000727","NOT_JUVENILE",FALSE,FALSE,FALSE
"40","10005513","NOT_JUVENILE",FALSE,FALSE,FALSE
"41","10005502","NOT_JUVENILE",FALSE,FALSE,FALSE
"42","10002834","NOT_JUVENILE",FALSE,FALSE,FALSE
"43","10002852","NOT_JUVENILE",TRUE,FALSE,TRUE
"44","10006643","JUVENILE",FALSE,FALSE,FALSE
"45","10006642","JUVENILE",FALSE,FALSE,FALSE
"46","10004046","NOT_JUVENILE",FALSE,FALSE,FALSE
"47","10005390","NOT_JUVENILE",FALSE,FALSE,FALSE
"48","10005389","NOT_JUVENILE",TRUE,FALSE,TRUE
"49","10006476","NOT_JUVENILE",FALSE,FALSE,FALSE
"50","10003448","NOT_JUVENILE",TRUE,FALSE,TRUE
"51","10005407","NOT_JUVENILE",TRUE,FALSE,TRUE
"52","10005544","NOT_JUVENILE",FALSE,FALSE,FALSE
"53","10003477","NOT_JUVENILE",FALSE,FALSE,FALSE
"54","10004265","NOT_JUVENILE",FALSE,FALSE,FALSE
"55","10000729","JUVENILE",FALSE,FALSE,FALSE
"56","10001994","NOT_JUVENILE",TRUE,FALSE,TRUE
"57","10003452","NOT_JUVENILE",TRUE,FALSE,TRUE
"58","10003471","NOT_JUVENILE",FALSE,FALSE,FALSE
"59","10002616","NOT_JUVENILE",TRUE,FALSE,TRUE
"60","10003450","NOT_JUVENILE",TRUE,FALSE,TRUE
"61","10003486","JUVENILE",FALSE,FALSE,FALSE
"62","10003455","JUVENILE",FALSE,FALSE,FALSE
"63","10006452","NOT_JUVENILE",TRUE,FALSE,TRUE
"64","10003380","NOT_JUVENILE",TRUE,FALSE,TRUE
"65","10004381","NOT_JUVENILE",FALSE,FALSE,FALSE
"66","10006808","NOT_JUVENILE",FALSE,FALSE,FALSE
"67","10001628","NOT_JUVENILE",TRUE,FALSE,TRUE
"68","10001634","NOT_JUVENILE",TRUE,FALSE,TRUE
"69","10003460","JUVENILE",TRUE,FALSE,TRUE
"70","10003570","NOT_JUVENILE",FALSE,FALSE,FALSE
"71","10003488","JUVENILE",TRUE,FALSE,TRUE
"72","10003090","JUVENILE",TRUE,FALSE,TRUE
"73","10003483","JUVENILE",FALSE,FALSE,FALSE
"74","10003472","JUVENILE",TRUE,FALSE,TRUE
"75","10003479","JUVENILE",TRUE,FALSE,TRUE
"76","10002709","JUVENILE",FALSE,FALSE,FALSE
"77","10003435","NOT_JUVENILE",TRUE,FALSE,TRUE
"78","10005512","NOT_JUVENILE",FALSE,FALSE,FALSE
"79","10005382","NOT_JUVENILE",FALSE,FALSE,FALSE
"80","10005395","NOT_JUVENILE",FALSE,FALSE,FALSE
"81","10001702","NOT_JUVENILE",FALSE,FALSE,FALSE
"82","10002185","NOT_JUVENILE",TRUE,FALSE,TRUE
"83","10003469","NOT_JUVENILE",FALSE,FALSE,FALSE
"84","10003427","NOT_JUVENILE",TRUE,FALSE,TRUE
"85","10006838","JUVENILE",TRUE,FALSE,TRUE
"86","10003454","NOT_JUVENILE",TRUE,FALSE,TRUE
"87","10003482","NOT_JUVENILE",FALSE,FALSE,FALSE
"88","10005448","NOT_JUVENILE",FALSE,FALSE,FALSE
"89","10005510","NOT_JUVENILE",FALSE,FALSE,FALSE
"90","10005880","NOT_JUVENILE",FALSE,FALSE,FALSE
"91","10006809","NOT_JUVENILE",TRUE,FALSE,TRUE
"92","10001762","NOT_JUVENILE",TRUE,FALSE,TRUE
"93","10003464","NOT_JUVENILE",TRUE,FALSE,TRUE
"94","10003465","NOT_JUVENILE",TRUE,FALSE,TRUE
"95","10003379","NOT_JUVENILE",FALSE,FALSE,FALSE
"96","10003361","NOT_JUVENILE",TRUE,FALSE,TRUE
"97","10002617","NOT_JUVENILE",FALSE,FALSE,FALSE
"98","10003453","JUVENILE",TRUE,FALSE,TRUE
