"","REGION","HOSP_WITH_POINT_SOURCE_IN_HUC","PERC_HOSP_DENOM_TOTAL_IN_HUC","PERC_HOSP_DENOM_TOTAL_OF_REGION","AT_LEAST_HOSP_POP_WITH_POINT_SOURCE_IN_HUC"
"1","EAST NORTH CENTRAL",69,14.5569620253165,6.23306233062331,13051
"2","EAST SOUTH CENTRAL",7,1.47679324894515,1.30597014925373,2934
"3","MID ATLANTIC",24,5.06329113924051,3.50877192982456,7139
"4","MOUNTAIN",35,7.38396624472574,5.09461426491994,5306
"5","NEW ENGLAND",62,13.0801687763713,20.5980066445183,8081
"6","OUTLYING",2,0.421940928270042,2.40963855421687,158
"7","PACIFIC",150,31.6455696202532,16.8918918918919,22701
"8","SOUTH ATLANTIC",70,14.7679324894515,6.18921308576481,15978
"9","WEST NORTH CENTRAL",24,5.06329113924051,2.73348519362187,2157
"10","WEST SOUTH CENTRAL",31,6.54008438818565,2.31516056758775,3650
