"","FACILITYID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","SECURELVL","CAPACITY","SHAPE_Leng","GlobalID","CreationDa","Creator","EditDate","Editor","SHAPE_Le_1","SHAPE_Area","intersection","HUC","elevation","elev_units","LONGITUDE","LATITUDE","INDEX_CARCERAL","GEOID","URBAN","REGION"
"1","10002798","MIDLAND COUNTY CENTRAL DETENTION CENTER","400 S MAIN ST","MIDLAND","TX","79701","-999","(432) 688-4745","COUNTY","OPEN",438,"MIDLAND","48329","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.co.midland.tx.us/200/Detention",2018-04-30,"IMAGERY/OTHER",2020-02-27,"https://www.co.midland.tx.us/departments/SO/Pages/default.aspx","MAXIMUM",498,0.00727474414751,"{86DE7B8A-37D4-4D99-984B-D70D2B8C474F}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",863.87107605926,2.579058339e-06,94084,"120800050601",847.3,"meters",-102.075419393223,31.9939589571821,1,483290014001014,"URBAN","WEST SOUTH CENTRAL"
"2","10002796","BARBARA CULVER JUVENILE DETENTION CENTER","3800 N LAMESA RD","MIDLAND","TX","79701","-999","(432) 688-4541","COUNTY","OPEN",NA,"MIDLAND","48329","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=",2018-04-30,"IMAGERY/OTHER",2020-02-11,"https://www.co.midland.tx.us/163/Barbara-Culver-Juvenile-Center","JUVENILE",24,0.00464525058647,"{1C1E4C11-3209-4E90-85C7-957AE58CEB3C}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",571.238625945111,9.89764503e-07,94217,"120800050207",847.39,"meters",-102.076345959985,32.0378735165609,2,483290001004009,"URBAN","WEST SOUTH CENTRAL"
"3","10002836","SAN JACINTO COUNTY JAIL","75 W CEDAR AVE","COLDSPRING","TX","77331","-999","(936) 653-4367","COUNTY","OPEN",96,"SAN JACINTO","48407","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018-03-01,"IMAGERY/OTHER",2020-03-04,"http://www.co.san-jacinto.tx.us/page/sanjacinto.sheriff","NOT AVAILABLE",144,0.00232725233844,"{0764FA0C-E415-4F31-95AB-751C895E6CCF}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",285.360222251671,3.07571487e-07,16666,"120302021201",109.31,"meters",-95.1296140720289,30.5909476672762,3,484072002012041,"RURAL","WEST SOUTH CENTRAL"
"4","10003033","YELLOW MEDICINE COUNTY JAIL","415 9TH AVENUE","GRANITE FALLS","MN","56241","-999","(320) 313-3049","COUNTY","OPEN",27,"YELLOW MEDICINE","27173","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.co.ym.mn.gov/index.asp?Type=B_BASIC&SEC={7AEEBD16-209E-4890-96DB-3A984AE3B434}, https://mn.gov/doc/data-publications/performance-report/",2018-03-23,"IMAGERY/OTHER",2020-01-02,"https://www.co.ym.mn.gov/index.asp?SEC=7AEEBD16-209E-4890-96DB-3A984AE3B434","NOT AVAILABLE",36,0.00227221351015,"{9A789E0C-3A99-44D7-A17C-3F0C940DC400}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",304.118315612444,1.9001072e-07,39945,"070200040207",280.1,"meters",-95.5446071760104,44.8094761732946,4,271739701002020,"RURAL","WEST NORTH CENTRAL"
"5","10006288","NMJC THIEF RIVER FALLS SATELLITE HOME","118 N. SPRUCE AVENUE","THIEF RIVER FALLS","MN","56701","-999","(218) 681-3484","LOCAL","OPEN",2,"PENNINGTON","27113","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.nmjconline.org/annual-statistical-report-2015-nmjc-online.pdf, https://mn.gov/doc/assets/Thief%20River%20Falls%20Satellite%20Home-NMJC_2017_tcm1089-298942.pdf",2018-03-23,"IMAGERY/OTHER",2020-01-02,"http://www.nmjconline.org/satellite.php","JUVENILE",5,0.000643903767212,"{A4CD4104-0496-45C8-B09B-FC49557098D0}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",85.5381405245874,2.4574882e-08,59414,"090203030207",343.54,"meters",-96.1622996475368,48.1172737017708,5,271130905001024,"URBAN","WEST NORTH CENTRAL"
"6","10005438","PREBLE COUNTY JAIL","1139 PREBLE DRIVE","EATON","OH","45320","-999","(937) 456-6323","COUNTY","OPEN",79,"PREBLE","39135","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.preblecountysheriff.org/jail/",2018-04-12,"IMAGERY/OTHER",2020-02-20,"http://www.preblecountysheriff.org/jail/","NOT AVAILABLE",70,0.00302056088861,"{D10E1863-113E-47FA-B197-225445264B3D}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",382.708818536848,5.01869202e-07,69885,"050800020501",323.24,"meters",-84.6446399165556,39.7608923823029,6,391354550021021,"URBAN","EAST NORTH CENTRAL"
"7","10004413","SCHLEICHER COUNTY JAIL","4 SOUTH DIVIDE STREET","ELDORADO","TX","76936","-999","(325) 853-2737","COUNTY","OPEN",5,"SCHLEICHER","48413","USA","922140","CORRECTIONAL INSTITUTIONS","https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018-03-01,"IMAGERY/OTHER",2020-03-04,"http://www.schleichercountytexas.us/Sheriff/Sheriff.htm","NOT AVAILABLE",15,0.00115854006929,"{31055162-8BCE-4860-86A7-2D9B59810EC7}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",139.727286148174,7.8597046e-08,92950,"120901020402",742.84,"meters",-100.600353957799,30.8600470425549,7,484139503002063,"RURAL","WEST SOUTH CENTRAL"
"8","10003100","WASHINGTON COUNTY CORRECTIONAL FACILITY","100 W CHERRY AVE","WASHINGTON","PA","15301","6820","(724) 228-6845","COUNTY","OPEN",402,"WASHINGTON","42125","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018-04-18,"IMAGERY/OTHER",2020-01-31,"http://www.co.washington.pa.us/115/Correctional-Facility","NOT AVAILABLE",407,0.00236357394816,"{69F08916-A6F4-45C8-A407-4B82B786032D}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",309.245960343672,2.25261485e-07,19786,"050301010102",342.09,"meters",-80.2467640796946,40.1694774409116,8,421257041001014,"URBAN","MID ATLANTIC"
"9","10006806","ANDREW COUNTY JAIL","400 EAST MAIN STREET","SAVANNAH","MO","64485","-999","(816) 324-4114","COUNTY","OPEN",NA,"ANDREW","29003","USA","922140","CORRECTIONAL INSTITUTIONS","https://andrewcounty.org/sheriff/",2018-03-23,"IMAGERY/OTHER",2020-01-31,"https://www.andrewcountysheriff.org/index.php","MAXIMUM",60,0.00187764701416,"{51FE4F5E-66AF-4C7D-B483-3A559E104486}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",233.459619566326,1.89507494e-07,60543,"102400110102",328.56,"meters",-94.8193770485025,39.9410113485893,9,290030102022034,"URBAN","WEST NORTH CENTRAL"
"10","10005221","WAYNE COUNTY CORRECTIONAL FACILITY","44 MID-WAYNE DR","HONESDALE","PA","18431","-999","(570) 253-2621","COUNTY","OPEN",94,"WAYNE","42127","USA","922140","CORRECTIONAL INSTITUTIONS","http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018-04-18,"IMAGERY/OTHER",2020-01-31,"https://www.waynecountypa.gov/211/Corrections","NOT AVAILABLE",201,0.00513337969796,"{1E304AF0-D5FC-4047-8C81-67B07FFED8EE}",2022-01-07,"HostedByHIFLD",2022-01-07,"HostedByHIFLD",659.679056460059,1.434672426e-06,41481,"020401030601",297.54,"meters",-75.2088344160981,41.5486983331814,10,421279608002010,"RURAL","MID ATLANTIC"
