"","FACILITYID","NAME","POPULATION","TYPE","SECURELVL","URBAN","STATE","REGION","PFAS_ID_COLUMN","PFAS_NAME","PFAS_INDUSTRY","PFAS_SOURCE","PFAS_LEVEL","LATITUDE","LONGITUDE"
"1","10002842","TRAVIS COUNTY CORRECTIONAL COMPLEX",2340,"COUNTY","MAXIMUM","URBAN","TX","WEST SOUTH CENTRAL",308,"Bergstrom Air Force Base","Military Installment","Firefighting foam used at Former Bergstrom Air Force Base from 1942 to 1991 (Air Force 06.30.2016)",11869,30.1994006714812,-97.6473478626351
"2","10002973","LINN COUNTY JAIL",204,"COUNTY","MAXIMUM","URBAN","OR","PACIFIC",1338,"Lebanon Motor Pool","Military Installment","Unknown",2,44.6301035766129,-123.097026697524
"3","10002959","MULTNOMAH COUNTY INVERNESS JAIL",756,"COUNTY","MEDIUM","URBAN","OR","PACIFIC",278,"Oregon Air National Guard Base","Military Installment","Firefighting foam",40000,45.563443071623,-122.544050722762
"4","10006313","BALDWIN PARK JAIL",NA,"LOCAL","NOT AVAILABLE","URBAN","CA","PACIFIC",916,"Brothers Plating","Industrial Facilities","Unknown",3743600,34.085423203011,-117.959725803817
"5","10006924","LEAGUE CITY JAIL",NA,"LOCAL","NOT AVAILABLE","URBAN","TX","WEST SOUTH CENTRAL",310,"Ellington Field Joint Reserve Base","Military Installment","Firefighting foam used at Ellington Field Joint Reserve Base",94710,29.5008559896801,-95.0946945948494
"6","10003979","YUMA COUNTY JUVENILE JUSTICE CENTER",NA,"COUNTY","JUVENILE","URBAN","AZ","MOUNTAIN",30,"Marine Corps Air Station Yuma","Military Installment","Firefighting foam used at Marine Corps Air Station Yuma",185,32.677776303059,-114.649057335522
"7","10006840","TULSA COUNTY FAMILY CENTER FOR JUVENILE JUSTICE",NA,"COUNTY","JUVENILE","URBAN","OK","WEST SOUTH CENTRAL",401,"NEBRA Site 1","Waste","Unknown",29,36.1534464731527,-96.0191295474683
"8","10006840","TULSA COUNTY FAMILY CENTER FOR JUVENILE JUSTICE",NA,"COUNTY","JUVENILE","URBAN","OK","WEST SOUTH CENTRAL",402,"NEBRA Site 2","Waste","Unknown",10,36.1534464731527,-96.0191295474683
"9","10003325","PORTSMOUTH CITY JAIL",510,"LOCAL","NOT AVAILABLE","URBAN","VA","SOUTH ATLANTIC",1681,"St. Juliens Creek Annex (U.S. Navy)","Military Installment","Unknown",NA,36.8341668216601,-76.2972249891672
"10","10003325","PORTSMOUTH CITY JAIL",510,"LOCAL","NOT AVAILABLE","URBAN","VA","SOUTH ATLANTIC",1803,"NAVSUP Fleet Logistics Center Norfolk","Military Installment","Unknown",332,36.8341668216601,-76.2972249891672
"11","10003325","PORTSMOUTH CITY JAIL",510,"LOCAL","NOT AVAILABLE","URBAN","VA","SOUTH ATLANTIC",1804,"Norfolk Naval Shipyard","Military Installment","Unknown",515624,36.8341668216601,-76.2972249891672
"12","10001252","JUDGE ARTHUR R. TIPPS JUVENILE JUSTICE CENTER",NA,"COUNTY","JUVENILE","URBAN","TX","WEST SOUTH CENTRAL",312,"Sheppard Air Force Base","Military Installment","Firefighting foam used at Sheppard Air Force Base",3502600,33.9134440962133,-98.495358371234
"13","10006919","SPRINGFIELD MUNICIPAL JAIL",NA,"LOCAL","NOT AVAILABLE","URBAN","OR","PACIFIC",1337,"Lane County Air Force Reserve Command FMS5","Military Installment","Unknown",6,44.0475299331315,-123.021437850478
"14","10006492","CULVER CITY JAIL",NA,"LOCAL","NOT AVAILABLE","URBAN","CA","PACIFIC",974,"Hudson Element La","Industrial Facilities","Unknown",66,34.0207642423343,-118.395085597231
"15","10006058","CARROLL COUNTY JAIL",61,"COUNTY","NOT AVAILABLE","RURAL","NH","NEW ENGLAND",1145,"Carrol County Complex Overland Flow","Other","Unknown",38,43.6822880803918,-71.1319690102448
"16","10006057","GRAFTON COUNTY DEPARTMENT OF CORRECTIONS",103,"COUNTY","NOT AVAILABLE","RURAL","NH","NEW ENGLAND",623,"Former Gary's Fuels","Other","""The source of the PFAS is not clear""
(NHDES, 7.12.2018)",2163,44.1129896472202,-72.0434826652838
"17","10004120","STRAFFORD COUNTY CORRECTIONAL CENTER",407,"COUNTY","MAXIMUM","RURAL","NH","NEW ENGLAND",571,"Closed Rochester Landfill","Industrial Facilities","Unknown",968,43.2173539554164,-70.9401697167711
"18","10001723","GARFIELD COUNTY DETENTION FACILITY",NA,"COUNTY","NOT AVAILABLE","URBAN","OK","WEST SOUTH CENTRAL",277,"Vance Air Force Base","Military Installment","Firefighting foam used at Vance Air Force Base / Kegelman Auxiliary Field",347000,36.3859889635302,-97.8649048662918
"19","10002350","NORTH COUNTY CORRECTIONAL FACILITY",4069,"COUNTY","MAXIMUM","URBAN","CA","PACIFIC",1040,"Peter Pitchess Landfill","Industrial Facilities","Unknown",48,34.4644979836548,-118.586694621354
"20","10002355","CENTRAL JUVENILE HALL",NA,"COUNTY","JUVENILE","URBAN","CA","PACIFIC",902,"Bishop'S Canyon Landfill","Industrial Facilities","Unknown",115,34.0628451048828,-118.207531042458
"21","10002871","HARRIS COUNTY YOUTH VILLAGE",87,"COUNTY","JUVENILE","RURAL","TX","WEST SOUTH CENTRAL",310,"Ellington Field Joint Reserve Base","Military Installment","Firefighting foam used at Ellington Field Joint Reserve Base",94710,29.5706800918497,-95.0677088542538
"22","10003697","DECATUR CITY JAIL",0,"LOCAL","NOT AVAILABLE","URBAN","AL","EAST SOUTH CENTRAL",870,"Brookhaven/Aquadome Landfill","Industrial Facilities","Unknown",3770,34.6061865633707,-86.9836812226871
"23","10006598","ANN KLEIN FORENSIC CENTER",193,"STATE","NOT AVAILABLE","URBAN","NJ","MID ATLANTIC",235,"Former Naval Air Warfare Center Trenton","Military Installment","Firefighting foam used at Former Naval Air Warfare Center Trenton, now Trenton-Mercer Airport",27800,40.2470506282271,-74.8018850687055
"24","10003757","ANCHORAGE CORRECTIONAL COMPLEX",832,"STATE","MAXIMUM","URBAN","AK","PACIFIC",16,"Joint Base Elmendorf-Richardson","Military Installment","Firefighting foam used at Joint Base Elmendorf-Richardson",46532,61.2184209447116,-149.856242367468
"25","10003802","PORT OF CROW WING GIRLS GROUP HOME",12,"COUNTY","JUVENILE","URBAN","MN","WEST NORTH CENTRAL",198,"Brainerd Public Utilities Wastewater Treatment Plant","Industrial Facilities","Primary source is from chrome plating operations at Keystone Automotive 
(USDHHS 8.13.2008 - PFOS Detections in the City of Brainerd, Minnesota)",1510,46.3573726816134,-94.2096000510152
"26","10006203","WILDWOOD PRETRIAL FACILITY",106,"STATE","MEDIUM","RURAL","AK","PACIFIC",1466,"City of Kenai Airport","Major Airports (FAA Part 139)","Use of Aqueous Film Forming Foam (AFFF) at various locations at the Kenai municipal airport.",1,60.58299545268,-151.301798972379
"27","10005027","AROOSTOOK COUNTY JAIL",90,"COUNTY","MAXIMUM","URBAN","ME","NEW ENGLAND",103,"Houlton International Airport","Major Airports (FAA Part 139)","Firefighting foam used at Airport",71,46.1248167606038,-67.8389756788538
"28","10005027","AROOSTOOK COUNTY JAIL",90,"COUNTY","MAXIMUM","URBAN","ME","NEW ENGLAND",409,"Old Woodstock Road","Major Airports (FAA Part 139)","located near the Houlton International Airport",1397,46.1248167606038,-67.8389756788538
"29","10006059","SULLIVAN COUNTY DEPARTMENT OF CORRECTIONS",72,"COUNTY","MAXIMUM","RURAL","NH","NEW ENGLAND",821,"Unity Municipal Landfill","Industrial Facilities","Unknown",6697,43.3094524134241,-72.3120949080271
"30","10004121","NH CORRECTIONAL FACILITY FOR WOMEN",162,"STATE","CLOSE","RURAL","NH","NEW ENGLAND",219,"New Boston Air Force Station","Military Installment","Firefighting foam used at New Boston Air Force Station",537,43.0102726265614,-71.5396268708258
"31","10004121","NH CORRECTIONAL FACILITY FOR WOMEN",162,"STATE","CLOSE","RURAL","NH","NEW ENGLAND",515,"14 Depot Street","Other","Unknown",2666,43.0102726265614,-71.5396268708258
"32","10004121","NH CORRECTIONAL FACILITY FOR WOMEN",162,"STATE","CLOSE","RURAL","NH","NEW ENGLAND",662,"Goffstown DPW Garage","Other","Unknown",41,43.0102726265614,-71.5396268708258
"33","10003499","CORRECTIONAL DEVELOPMENT CENTER",651,"COUNTY","MINIMUM","URBAN","TN","EAST SOUTH CENTRAL",299,"Nashville Air National Guard Base","Military Installment","Firefighting foam used at Nashville Metropolitan Airport / Air National Guard Base",271,36.0883787419608,-86.6839114304374
"34","10003499","CORRECTIONAL DEVELOPMENT CENTER",651,"COUNTY","MINIMUM","URBAN","TN","EAST SOUTH CENTRAL",1765,"Air National Guard - Berry Field","Military Installment","Unknown",271,36.0883787419608,-86.6839114304374
"35","10006855","MAXIMUM CORRECTIONAL CENTER",361,"COUNTY","MAXIMUM","URBAN","TN","EAST SOUTH CENTRAL",299,"Nashville Air National Guard Base","Military Installment","Firefighting foam used at Nashville Metropolitan Airport / Air National Guard Base",271,36.0884689537825,-86.6856035501468
