"","REGION","HOSP_WITH_POINT_SOURCE_IN_HUC","PERC_HOSP_DENOM_TOTAL_IN_HUC","PERC_HOSP_DENOM_TOTAL_OF_REGION","AT_LEAST_HOSP_POP_WITH_POINT_SOURCE_IN_HUC"
"1","EAST NORTH CENTRAL",660,15.4097595143591,59.6205962059621,109067
"2","EAST SOUTH CENTRAL",232,5.41676395050199,43.2835820895522,59095
"3","MID ATLANTIC",425,9.9229512024282,62.1345029239766,103069
"4","MOUNTAIN",347,8.10179780527668,50.509461426492,44981
"5","NEW ENGLAND",197,4.59957973383143,65.4485049833887,34766
"6","OUTLYING",48,1.12070978286248,57.8313253012048,6331
"7","PACIFIC",630,14.70931590007,70.9459459459459,96609
"8","SOUTH ATLANTIC",635,14.8260565024516,56.1450044208665,128362
"9","WEST NORTH CENTRAL",358,8.35862713051599,40.7744874715262,55772
"10","WEST SOUTH CENTRAL",751,17.5344384777025,56.0866318147872,90851
