"","REGION","CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_CARC_POP_WITH_POINT_SOURCE_IN_HUC","JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC","NON_JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_NON_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC"
"1","EAST NORTH CENTRAL",427,14.8006932409012,50.9546539379475,134878,83,14.8745519713262,59.7122302158273,2395,344,14.7829823807477,49.2131616595136,132483
"2","EAST SOUTH CENTRAL",231,8.00693240901213,40.2439024390244,65666,43,7.70609318996416,53.0864197530864,476,188,8.0790717662226,38.1338742393509,65190
"3","MID ATLANTIC",213,7.38301559792028,51.0791366906475,84998,57,10.2150537634409,54.8076923076923,731,156,6.70391061452514,49.8402555910543,84267
"4","MOUNTAIN",239,8.2842287694974,46.0500963391137,87673,53,9.49820788530466,60.2272727272727,1548,186,7.99312419424151,43.1554524361949,86125
"5","NEW ENGLAND",87,3.0155979202773,62.1428571428571,31633,15,2.68817204301075,88.2352941176471,747,72,3.0941125913193,58.5365853658537,30886
"6","OUTLYING",19,0.658578856152513,42.2222222222222,5087,2,0.3584229390681,33.3333333333333,0,17,0.730554361839278,43.5897435897436,5087
"7","PACIFIC",363,12.5823223570191,59.2169657422512,171861,82,14.6953405017921,57.3426573426573,1977,281,12.0756338633434,59.7872340425532,169884
"8","SOUTH ATLANTIC",581,20.1386481802426,46.2579617834395,220435,102,18.2795698924731,57.6271186440678,2654,479,20.5844434894714,44.3929564411492,217781
"9","WEST NORTH CENTRAL",333,11.5424610051993,41.6770963704631,59253,57,10.2150537634409,41.6058394160584,931,276,11.8607649333906,41.6918429003021,58322
"10","WEST SOUTH CENTRAL",392,13.5875216637782,42.7480916030534,134284,64,11.4695340501792,56.6371681415929,1413,328,14.095401804899,40.7960199004975,132871
