"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"1",1,"50009.*A",51.8833333,-176.6422222,98592,"190301030000",NA,"meters",c(-176.642220498756, 51.8833252278571)
"2",2,"50034.*A",61.1738889,-149.9980556,36817,"190204010808",32.3,"meters",c(-149.9980556, 61.1738889)
"3",3,"50054.3*A",71.2847222,-156.7683333,77615,"190602020203",4.53,"meters",c(-156.7683333, 71.2847222)
"4",4,"50061.1*A",60.7783333,-161.8369444,75449,"190305023201",37.7,"meters",c(-161.8369444, 60.7783333)
"5",5,"50114.*A",55.205,-162.7244444,32679,"190301012202",NA,"meters",c(-162.7244444, 55.205)
"6",6,"50124.*A",60.4916667,-145.4775,49283,"190201041605",15.08,"meters",c(-145.4775, 60.4916667)
"7",7,"50140.7*A",70.1952778,-148.4655556,33547,"190604010102",18.35,"meters",c(-148.4655556, 70.1952778)
"8",8,"50153.*A",59.0444444,-158.5052778,99318,"190303031108",NA,"meters",c(-158.5052778, 59.0444444)
"9",9,"50219.*A",64.815,-147.8563889,30307,"190803071306",128.66,"meters",c(-147.8563889, 64.815)
"10",10,"50284.*A",58.4252778,-135.7072222,13292,"190103021405",8.74,"meters",c(-135.7072222, 58.4252778)
"11",11,"50320.*A",59.6455556,-151.4763889,36890,"190203010807",24.59,"meters",c(-151.4763889, 59.6455556)
"12",12,"50385.*A",58.3544444,-134.5783333,12471,"190103010606",4.82,"meters",c(-134.5783333, 58.3544444)
"13",13,"50410.*A",60.5730556,-151.2447222,36586,"190203021809",27.72,"meters",c(-151.2447222, 60.5730556)
"14",14,"50412.03*A",55.3538889,-131.7111111,4797,"190101020403",27.65,"meters",c(-131.7111111, 55.3538889)
"15",15,"50416.*A",58.6763889,-156.6486111,56277,"190302041502",NA,"meters",c(-156.6486111, 58.6763889)
"16",16,"50425.*A",57.7497222,-152.4936111,80368,"190207011506",NA,"meters",c(-152.4936111, 57.7497222)
"17",17,"50429.*A",66.8847222,-162.5980556,100875,"190504031706",0.7,"meters",c(-162.5980556, 66.8847222)
"18",18,"50540.*A",64.5125,-165.4441667,81842,"190501041703",4.29,"meters",c(-165.4441667, 64.5125)
"19",19,"50590.2*A",56.8013889,-132.9461111,82871,"190102101004",33.46,"meters",c(-132.9461111, 56.8013889)
"20",20,"50651.*A",68.0319444,-162.8991667,33227,"190504040804",296.77,"meters",c(-162.8991667, 68.0319444)
"21",21,"50703.*A",57.0466667,-135.3608333,46404,"190102121106",7.82,"meters",c(-135.3608333, 57.0466667)
"22",22,"50801.*A",53.8988889,-166.545,97778,"190301020806",NA,"meters",c(-166.545, 53.8988889)
"23",23,"50825.1*A",61.1341667,-146.2447222,48113,"190202011104",27.62,"meters",c(-146.2447222, 61.1341667)
"24",24,"50905.2*A",56.4841667,-132.3697222,12943,"190102090103",13.69,"meters",c(-132.3697222, 56.4841667)
"25",25,"50920.*A",59.5030556,-139.66,47694,"190104052101",9.47,"meters",c(-139.66, 59.5030556)
"26",26,"00128.*A",33.5880556,-85.8580556,36437,"031501060507",181.99,"meters",c(-85.8580556, 33.5880556)
"27",27,"00164.*A",33.5638889,-86.7522222,4091,"031601110408",184.69,"meters",c(-86.7522222, 33.5638889)
"28",28,"00267.*A",31.3208333,-85.4494444,35125,"031402010503",116.07,"meters",c(-85.4494444, 31.3208333)
"29",29,"00385.1*A",34.6369444,-86.775,35895,"060300020504",190.24,"meters",c(-86.775, 34.6369444)
"30",30,"00437.*A",30.6266667,-88.0680556,54610,"031602050105",6.11,"meters",c(-88.0680556, 30.6266667)
"31",31,"00438.*A",30.6913889,-88.2427778,37005,"031700080601",64.15,"meters",c(-88.2427778, 30.6913889)
"32",32,"00447.*A",32.3005556,-86.3938889,35432,"031502010310",61.59,"meters",c(-86.3938889, 32.3005556)
"33",33,"00455.*A",34.7452778,-87.61,36557,"060300050802",163.3,"meters",c(-87.61, 34.7452778)
"34",34,"00554.*A",33.2205556,-87.6113889,4562,"031601130202",49.11,"meters",c(-87.6113889, 33.2205556)
