"","intersection","HUC","elevation","elev_units","geometry"
"1",16206,"050302020106",196.67,"meters",c(-81.665904, 39.266469)
"2",71467,"020402020606",2.34,"meters",c(-75.35608, 39.770261)
"3",49002,"020802060102",17.38,"meters",c(-77.437892, 37.450298)
"4",36358,"060300021102",177.57,"meters",c(-87.044871, 34.641782)
"5",64540,"060400060502",105.16,"meters",c(-88.366971, 37.055394)
"6",21168,"020402020507",3.62,"meters",c(-75.209851, 39.844013)
"7",91286,"030501011405",180.23,"meters",c(-81.007943, 35.294247)
"8",4580,"031602030802",14.06,"meters",c(-87.99958, 31.278142)
"9",9099,"070102060903",244.09,"meters",c(-92.91171, 44.788908)
"10",12730,"070801010402",181.24,"meters",c(-90.289291, 41.751568)
"11",65739,"020301040205",4.7,"meters",c(-74.107251, 40.660391)
"12",43999,"020301050405",20.41,"meters",c(-74.330899, 40.452134)
"13",87287,"030300050104",44.79,"meters",c(-78.842319, 34.840297)
"14",63325,"031700090301",2.29,"meters",c(-88.49571, 30.354016)
"15",1981,"080402060303",72.03,"meters",c(-92.675014, 33.110213)
"16",13641,"031501041303",228.83,"meters",c(-84.828213, 34.145222)
