"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"1","Sacramento","Sacramento Regional WWTF","Outfall To Surface Waters",2797600,155,10,NA,165,370,"Lower Sacramento","North American Datum of 1983",7.56007888482927,c(-121.4617, 38.4485),84619,"18020109","180201630403","18020163"
"2","Los Angeles","Joint WPCP","Ocean Discharge",2390090,263,59,NA,322,603,"Santa Monica Bay","North American Datum of 1983",6.21936199101638,c(-118.2839, 33.8044),2153,"18070104","180701060701","18070106"
"3","Orange","OCSD WWTP No. 2","Ocean Discharge",2217100,151,NA,NA,151,NA,"Seal Beach","North American Datum of 1983",5.66612183732302,c(-117.9382, 33.6942),84552,"18070201","180702031003","18070203"
"4","King","WEST POINT WWTP","Ocean Discharge",1692873,300,NA,NA,300,NA,"Puget Sound","North American Datum of 1927",4.05514500447482,c(-122.2647, 47.394),76551,"17110019","171100130305","17110013"
"5","Essex","Passaic Valley Sewerage Commision","Outfall To Surface Waters",1346834,219.33,59,NA,278.33,NA,"Hackensack-Passaic","North American Datum of 1983",3.05394778677265,c(-74.1301, 40.7132),11756,"02030103","020301040203","02030104"
"6","Santa Clara","San Jose/Santa Clara WPCP","Outfall To Surface Waters",1310835,133,10.3,NA,143.3,320,"Coyote","North American Datum of 1983",2.95305621833005,c(-121.9527, 37.4325),57062,"18050003","180500041001","18050004"
"7","Dallas","Central WWTP - TRA","Outfall To Surface Waters",1141223,140,12,NA,152,NA,"Upper Trinity","North American Datum of 1983",2.48686149898239,c(-96.9336, 32.7778),96892,"12030105","120301020706","12030102"
"8","Miami-Dade","MDWSAD Central District WWTP","Ocean Discharge",1101000,NA,NA,NA,127,NA,"Everglades","North American Datum of 1983",2.37863844927223,c(-80.1533, 25.745),10948,"03090202","030902061406","03090206"
"9","Kings","New York (C) - Newton Creek WPCP","Outfall To Surface Waters",1068012,255.24,16.02,NA,271.26,NA,"Northern Long Island","North American Datum of 1983",2.29058579612221,c(-73.9484, 40.7335),65647,"02030201","020301010405","02030101"
"10","New York","New York (C) - Wards Island WPCP","Outfall To Surface Waters",1061558,247.25,2.75,NA,250,NA,"Northern Long Island","North American Datum of 1983",2.27343416033099,c(-73.9229, 40.7875),65647,"02030201","020301010405","02030101"
"11","Philadelphia","PHILADELPHIA WATER DEPT (SW)","Outfall To Surface Waters",984773,188.5,10,NA,198.5,NA,"Lower Delaware","North American Datum of 1983",2.07132841936795,c(-75.2183, 39.8861),21431,"02040202","020402031008","02040203"
"12","Fulton","SOUTH RIVER WWTP","Outfall To Surface Waters",957754,29.06,3.2,NA,32.26,NA,"Middle Chattahooche","North American Datum of 1983",2.00109214645372,c(-84.3903, 33.7479),86002,"03130003","030701030102","03070103"
"13","Miami-Dade","MDWASD North District WWTP","Ocean Discharge",946000,NA,NA,NA,95,NA,"Everglades","North American Datum of 1983",1.97068480664972,c(-80.1482, 25.9156),10948,"03090202","030902061406","03090206"
"14","Bexar","Dos Rios WWTP","Outfall To Surface Waters",851474,58,NA,NA,58,NA,"Upper San Antonio","North American Datum of 1983",1.72951639896861,c(-98.4312, 29.2383),51129,"12100301","121003020509","12100302"
"15","Queens","New York (C) - Bowery Bay WPCP","Outfall To Surface Waters",848328,111.11,18,NA,129.11,NA,"Northern Long Island","North American Datum of 1983",1.72159611196723,c(-73.8876, 40.7714),15316,"02030201","020301020105","02030102"
"16","Alameda","East Bay MUD Main WWTP","Outfall To Surface Waters",781359,74,6,NA,80,NA,"San Francisco Bay","North American Datum of 1983",1.55470117437538,c(-122.2976, 37.8232),57846,"18050004","180500021001","18050002"
"17","Kings","New York (C) - Owls Head WPCP","Outfall To Surface Waters",758007,85.74,1.35,NA,87.09,NA,"Northern Long Island","North American Datum of 1983",1.49729352790289,c(-74.034, 40.6426),65739,"02030201","020301040205","02030104"
"18","Queens","New York (C) - Jamaica WPCP","Outfall To Surface Waters",728123,93.98,2.11,NA,96.09,NA,"Southern Long Island","North American Datum of 1983",1.42444619325696,c(-73.8087, 40.6623),15385,"02030202","020301040502","02030104"
"19","Multnomah","COLUMBIA BLVD. STP","Outfall To Surface Waters",721420,42.7,3.7,18.1,64.5,335,"Lower Columbia-Sandy","North American Datum of 1983",1.40820376163259,c(-122.7244, 45.5919),15631,"17080001","170900120201","17090012"
"20","Bronx","New York (C) - Hunts Point WPCP","Outfall To Surface Waters",684569,120.28,1.84,NA,122.12,NA,"Northern Long Island","North American Datum of 1983",1.31956115609823,c(-73.8851, 40.8037),15316,"02030201","020301020105","02030102"
"21","Kings","New York (C) - Coney Island WPCP","Outfall To Surface Waters",596326,92.72,0.37,NA,93.09,NA,"Southern Long Island","North American Datum of 1983",1.11201847630833,c(-73.9296, 40.5856),12890,"02030202","020301040504","02030104"
"22","Cuyahoga","NEORSD Southerly WWTP","Outfall To Surface Waters",582530,130,40,NA,170,NA,"Cuyahoga","North American Datum of 1983",1.08020664983374,c(-81.66, 41.5034),56482,"04110002","041100030504","04110003"
"23","Broward","BROWARD CNTY N. DIST REG","Ocean Discharge",560715,NA,NA,NA,70,NA,"Everglades","North American Datum of 1983",1.03027332443291,c(-80.1528, 26.2608),101993,"03090202","030902061201","03090206"
"24","Fulton","R M CLAYTON WPCP","Outfall To Surface Waters",461635,81.67,5.85,NA,87.52,NA,"Middle Chattahoochee-Lake Harding","North American Datum of 1983",0.809547959638647,c(-84.3903, 33.7479),86002,"03130002","030701030102","03070103"
"25","Arapahoe","LITTLETON/ENGLEWOOD WWTP","Outfall To Surface Waters",447263,32.67,NA,NA,32.67,NA,"Middle South Platte-Cherry Creek","North American Datum of 1983",0.778413295294347,c(-105.0014, 39.6647),14134,"10190003","101900020904","10190002"
"26","Travis","WALNUT CREEK STP","Outfall To Surface Waters",440720,52,0.66,NA,52.66,NA,"Lower Colorado-Cummins","North American Datum of 1983",0.764317812193446,c(-97.6522, 30.2824),95012,"12090301","120902050307","12090205"
"27","Erie","Buffalo(Sewer Auth.)Bird Island STP","Outfall To Surface Waters",421966,144,NA,5,149,NA,"Niagara","North American Datum of 1983",0.724196144461007,c(-78.9067, 42.9289),51463,"04120104","042701010802","04270101"
"28","Queens","New York (C) - Tallman Island WPCP","Outfall To Surface Waters",410812,59.06,2,NA,61.06,NA,"Northern Long Island","North American Datum of 1983",0.700534662843494,c(-73.8393, 40.7956),15316,"02030201","020301020105","02030102"
"29","Travis","SOUTH AUSTIN REGIONAL STP","Outfall To Surface Waters",394300,32.5,NA,NA,32.5,NA,"Lower Colorado-Cummins","North American Datum of 1983",0.665790145464673,c(-97.605, 30.2083),96299,"12090301","120902050409","12090205"
"30","Shelby","Memphis S. T. E. MAXSON WWTP","Outfall To Surface Waters",350000,54.4,18.1,NA,72.5,NA,"Lower Mississippi-Memphis","North American Datum of 1983",0.574323430183917,c(-90.157, 35.0723),21774,"08010100","080102110302","08010211"
"31","Essex","Greater Lawrence Sanitary District","Outfall To Surface Waters",349945,NA,NA,NA,31,NA,"Merrimack","North American Datum of 1983",0.574211521271642,c(-71.1288, 42.7145),15671,"01070002","010700061402","01070006"
"32","Dane","MADISON MSD STP","Outfall To Surface Waters",332375,35.75,5.25,NA,41,NA,"Upper Rock","North American Datum of 1983",0.538680573246272,c(-89.3463, 43.0343),73847,"07090001","070900020702","07090002"
"33","Lucas","Toledo Bay View Park WWTP & Sewers","Outfall To Surface Waters",329989,68.2,16.8,NA,85,NA,"Lower Maumee","North American Datum of 1983",0.533889639928023,c(-83.4828, 41.6929),44162,"04100009","041000010309","04100001"
"34","Monterey","MRWCPA WWTF","Ocean Discharge",310496,18.65,2.85,NA,21.5,35,"Carmel","North American Datum of 1983",0.495064301749624,c(-121.7731, 36.7064),38433,"18060012","180600051509","18060005"
"35","Marion","SOUTHPORT WWTP","Outfall To Surface Waters",310123,25,24,NA,49,150,"Upper White","North American Datum of 1983",0.494326952082435,c(-86.1343, 39.396),87352,"05120201","051202040604","05120204"
"36","Orleans","NEW ORLEANS EAST BANK","Outfall To Surface Waters",3e+05,92.1,NA,NA,92.1,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.474397634733634,c(-89.9998, 29.9741),101956,"08090100","080902030501","08090203"
"37","Kings","New York (C) - 26th. Ward WPCP","Outfall To Surface Waters",283428,62.99,1.07,NA,64.06,NA,"Southern Long Island","North American Datum of 1983",0.442121028790168,c(-73.8783, 40.6506),15386,"02030202","020301040503","02030104"
"38","Dakota","SENECA TREATMENT PLANT","Outfall To Surface Waters",280429,17.71,0.5,NA,18.21,NA,"Twin Cities","North American Datum of 1983",0.436327498365644,c(-93.212, 44.8267),60789,"07010206","070200121110","07020012"
"39","Broward","HOLLYWOOD WPCP","Ocean Discharge",270449,39.5,NA,NA,39.5,NA,"Everglades","North American Datum of 1983",0.417155554179587,c(-80.1333, 26.0208),10934,"03090202","030902061300","03090206"
"40","Newport News","BOAT HARBOR W P C F","Outfall To Surface Waters",249814,17.68,2.5,NA,20.18,NA,"Lower James","North American Datum of 1983",0.378056716523813,c(-76.413, 36.9638),8131,"02080206","020802080303","02080208"
"41","Spokane","SPOKANE STP","Outfall To Surface Waters",245168,44,NA,NA,44,NA,"Upper Spokane","North American Datum of 1983",0.369357780333717,c(-117.4764, 47.6977),74720,"17010305","170103070105","17010307"
"42","Ponce","Ponce Regional WWTP","Ocean Discharge",240950,14.12,NA,NA,14.12,NA,"Southern Puerto Rico","North American Datum of 1927",0.361494382738394,c(-62.6403, 17.985),NA,"21010004","",""
"43","Contra Costa","Delta Diablo Sanitation Dist. WWTF","Outfall To Surface Waters",239222,14.2,NA,NA,14.2,31,"San Joaquin Delta","North American Datum of 1983",0.358282457321132,c(-121.8418, 38.0125),57616,"18040003","180500010301","18050001"
"44","Stanislaus","Modesto WWTF","Outfall To Surface Waters",224050,25.8,NA,NA,25.8,NA,"Middle San Joaquin-Lower Merced,Sta","North American Datum of 1983",0.330323822102454,c(-121.0118, 37.6137),82462,"18040002","180400091403","18040009"
"45","Santa Clara","Palo Alto Regional WQCP","Outfall To Surface Waters",218005,22.5,2.5,1,26,60,"Coyote","North American Datum of 1983",0.319308561017124,c(-122.1108, 37.4583),57062,"18050003","180500041001","18050004"
"46","East Baton Rouge","BATON ROUGE SOUTH WWTP","Outfall To Surface Waters",217711,33,NA,NA,33,300,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.31877468204983,c(-91.1369, 30.3497),64271,"08070100","080702020804","08070202"
"47","Washtenaw","YCUA WWTP","Outfall To Surface Waters",216247,24.234,NA,NA,24.234,NA,"Huron","North American Datum of 1983",0.316118761864713,c(-83.5539, 42.2249),44592,"04090005","041000130404","04100013"
"48","Charleston","PLUM ISLAND TRTMT PLANT","Outfall To Surface Waters",208803,20.591,5.808,NA,26.399,NA,"South Carolina Coastal","North American Datum of 1983",0.302681382911625,c(-79.9551, 32.7575),41731,"03050202","030502010605","03050201"
"49","Henrico","HENRICO REGIONAL WWTP","Outfall To Surface Waters",205000,42,2,NA,44,NA,"Middle James-Willis","North American Datum of 1983",0.295860472772508,c(-77.3194, 37.4121),50376,"02080205","020802060106","02080206"
"50","Kings","New York (C) - Red Hook WPCP","Outfall To Surface Waters",192050,53.73,6.27,NA,60,NA,"Northern Long Island","North American Datum of 1983",0.272863788987183,c(-73.9844, 40.705),65647,"02030201","020301010405","02030101"
"51","New Haven","NEW HAVEN EAST SHORE WPCF","Outfall To Surface Waters",187888,25.71,5,NA,30.71,NA,"Long Island Sound","North American Datum of 1983",0.265550408096271,c(-72.9025, 41.2826),82627,"01100007","011000040208","01100004"
"52","Tulsa","TULSA NORTHSIDE WWT","Outfall To Surface Waters",180016,32.8,3.3,NA,36.1,NA,"Bird","North American Datum of 1983",0.251824472147718,c(-95.9936, 36.1502),19567,"11070107","111101010304","11110101"
"53","Caddo","SHREVEPORT, LUCAS WWTP","Outfall To Surface Waters",180000,21,1.25,NA,22.25,NA,"Middle Red-Coushatta","North American Datum of 1983",0.251796718257852,c(-93.6918, 32.3999),64226,"11140202","111402060201","11140206"
"54","Orleans","NEW ORLEANS W. BANK STP","Outfall To Surface Waters",180000,15,NA,NA,15,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.251796718257852,c(-89.9669, 29.9083),86590,"08090100","080903010404","08090301"
"55","Davis","NORTH DAVIS SD","Outfall To Surface Waters",178854,NA,NA,NA,21.6,NA,"Great Salt Lake","North American Datum of 1983",0.249810388274141,c(-112.0646, 41.0502),48614,"16020310","160201020505","16020102"
"56","Lake","GARY SANITARY DISTRICT","Outfall To Surface Waters",176680,23,2,NA,25,NA,"Little Calumet-Galien","North American Datum of 1983",0.246050653884289,c(-87.3841, 41.6065),30994,"04040001","071200030406","07120003"
"57","Jefferson","MARRERO PLANT","Outfall To Surface Waters",173101,10.5,NA,NA,10.5,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.23988529938329,c(-90.1155, 29.8769),25893,"08090100","080903010307","08090301"
"58","Bell","Killeen - Fort Hood WWTP","Outfall To Surface Waters",168650,11.2,NA,NA,11.2,NA,"Lampasas","North American Datum of 1983",0.232260431015335,c(-97.7028, 31.11),17534,"12070203","120702011101","12070201"
"59","Jefferson","HARVEY PLANT","Outfall To Surface Waters",163451,7.5,NA,NA,7.5,NA,"East Central Louisiana Coastal","North American Datum of 1983",0.223415222588479,c(-90.1914, 29.9658),32086,"08090301","080902030102","08090203"
"60","Palm Beach","South Central WWTF","Ocean Discharge",158900,14,NA,NA,14,NA,"Everglades","North American Datum of 1983",0.215727639646651,c(-80.0889, 26.4828),102128,"03090202","030902061102","03090206"
