NAICS_CODE,PRIMARY_INDICATOR,SOURCE_OF_DATA,CODE_DESCRIPTION,PGM_SYS_ACRNM,PGM_SYS_ID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_CODE,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,LEGISLATIVE_DIST_NUM,EPA_REGION_CODE,SITE_TYPE_NAME,INTEREST_STATUS_CODE,DATA_QUALITY_CODE,LOCATION_DESCRIPTION,STD_NAME,STD_LOC_ADDRESS,STD_HOUSE_NUMBER,STD_STREET_NAME,STD_BASE_NAME,STD_PREFIX,STD_SUFFIX,STD_STYPE_BEFORE,STD_STYPE_AFTER,STD_POSTAL_CODE,STD_STATE_CODE,STD_CITY_NAME,STD_COUNTY_NAME,STD_COUNTY_FIPS,STD_COUNTRY,STD_FULL_ADDRESS,ADDR_TYPE,LAST_REPORTED_DATE,CREATE_DATE,UPDATE_DATE,USER_ID,PARENT_REGISTRY_ID,SENSITIVE_IND,REVIEW_FLAG,REVIEW_REASON,SMALL_BUS_IND,ENV_JUSTICE_CODE,PUBLIC_IND,ICIS_IDENTIFIER,OBJECTID,GEO_SYS_ACRNM,GEO_SYS_ID,LATITUDE83,LONGITUDE83,CONVEYOR,HDATUM_DESC,COLLECT_DESC,REF_POINT_DESC,SOURCE_DESC,SCALE,ACCURACY_VALUE,ACCURACY_SCORE,DERIVED_CITY,DERIVED_COUNTY,DERIVED_ZIP,DERIVED_STATE,DERIVED_FIPS,DERIVED_HUC,DERIVED_WBD,DERIVED_CB_2010,DERIVED_CD_113,US_MEXICO_BORDER_IND,OZONE_8HR_1997_AREA_NAME,PB_2008_AREA_NAME,PM25_1997_AREA_NAME,PM25_2006_AREA_NAME,OZONE_8HR_2008_AREA_NAME
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAD064451248,110000861764,INX INTERNATIONAL INK CO,2424 CYPRESS WAY,,FULLERTON,ORANGE,06059,CA,CALIFORNIA,UNITED STATES,92831,N,,N,,4,09,STATIONARY,Y,V,,INX INTL INK,2424 CYPRESS WAY,2424,CYPRESS WAY,CYPRESS,,,,WAY,92831,CA,FULLERTON,ORANGE COUNTY,06059,US,"2424 CYPRESS WAY, FULLERTON, CA  92831 US",REGULAR URBAN,,01-MAR-00,31-DEC-15,BATCH,,N,,,,,Y,,32040305,TRIS,92631CMPRN2424C,33.86123,-117.88786,FRS-TRIS,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,FULLERTON,ORANGE COUNTY,92831,CA,06059,18070106,,060590116021017,39,N,Los Angeles-South Coast Air Basin Area,,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAD096418314,110002665125,H L DIST CO PROPERTY,13930 BORATE ST,,SANTA FE SPRINGS,LOS ANGELES,06037,CA,CALIFORNIA,UNITED STATES,90670,N,,N,,3,09,STATIONARY,N,V,,H L DISTRB PROP,13930 BORATE ST,13930,BORATE ST,BORATE,,,,ST,90670,CA,SANTA FE SPRINGS,LOS ANGELES COUNTY,06037,US,"13930 BORATE ST, SANTA FE SPRINGS, CA  90670 US",REGULAR URBAN,,01-MAR-00,05-AUG-10,BATCH,,N,,,,,Y,,36088536,FRS,110002665125,33.89918,-118.03458,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,SANTA FE SPRINGS,LOS ANGELES COUNTY,90670,CA,06037,18070106,,060375041021107,38,N,Los Angeles-South Coast Air Basin Area,Los Angeles County-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin
"32591",SECONDARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAD982037541,110013861641,KITTRICH CORP,4500-4536 DISTRICT BLVD,,VERNON,LOS ANGELES,06037,CA,CALIFORNIA,UNITED STATES,90058-2712,N,,N,,3,09,STATIONARY,Y,V,,KITTRICH CORPRT,4500 DISTRICT BLVD,4500,DISTRICT BLVD,DISTRICT,,,,BLVD,90058,CA,LOS ANGELES,LOS ANGELES COUNTY,06037,US,"4500 DISTRICT BLVD, LOS ANGELES, CA  90058 US",REGULAR URBAN,14-JAN-17,03-APR-03,01-JUN-17,GSYLLS,,N,,,,,Y,,35824937,FRS,110013861641,33.9996,-118.1966,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,LOS ANGELES,LOS ANGELES COUNTY,90058,CA,06037,18070105,,060375324001107,40,N,Los Angeles-South Coast Air Basin Area,Los Angeles County-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,ARD982557308,110003399572,FLINT INK NA COMPANY,717 EAST CENTER STREET,,SHERIDAN,GRANT,05053,AR,ARKANSAS,UNITED STATES,72150-2513,N,,N,,4,06,STATIONARY,N,V,,FLINT INK NA,717 E CENTER ST,717,E CENTER ST,CENTER,E,,,ST,72150,AR,SHERIDAN,GRANT COUNTY,05053,US,"717 E CENTER ST, SHERIDAN, AR  72150 US",REGULAR URBAN,,01-MAR-00,31-DEC-15,JACK_BURFORD,,N,,,,,Y,,36829211,FRS,110003399572,34.30702,-92.39207,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,SHERIDAN,GRANT COUNTY,72150,AR,05053,08040203,,050534704001016,04,,,,,,
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAD981368574,110001180551,SCIENTIFIC GAMES INC,8899 MURRAY AVENUE,,GILROY,SANTA CLARA,06085,CA,CALIFORNIA,UNITED STATES,95020-3629,N,,N,,2,09,STATIONARY,Y,V,,SCNTFC GAMES,8899 MURRAY AVE,8899,MURRAY AVE,MURRAY,,,,AVE,95020,CA,GILROY,SANTA CLARA COUNTY,06085,US,"8899 MURRAY AVE, GILROY, CA  95020 US",REGULAR URBAN,,01-MAR-00,08-AUG-10,REFRESH,,N,,,,,Y,,36752803,FRS,110001180551,37.02701,-121.57213,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,GILROY,SANTA CLARA COUNTY,95020,CA,06085,18060002,,060855126041004,20,N,San Francisco Bay Area,,,San Francisco Bay Area,San Francisco Bay Area
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAD044042976,110002645442,S & W PRINTING INC,774 GLADYS ST,,LOS ANGELES,LOS ANGELES,06037,CA,CALIFORNIA,UNITED STATES,90021,N,,N,,,09,STATIONARY,Y,V,,S & W PRINTG,774 GLADYS AVE,774,GLADYS AVE,GLADYS,,,,AVE,90021,CA,LOS ANGELES,LOS ANGELES COUNTY,06037,US,"774 GLADYS AVE, LOS ANGELES, CA  90021 US",REGULAR URBAN,,01-MAR-00,29-DEC-14,REFRESH,,N,,,,,Y,,36674662,FRS,110002645442,34.03666,-118.24555,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,LOS ANGELES,LOS ANGELES COUNTY,90021,CA,06037,18070105,,060372260021008,34,N,Los Angeles-South Coast Air Basin Area,Los Angeles County-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin,Los Angeles-South Coast Air Basin
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,ARD055595565,110007409848,FLINT INK CORPORATION,BLDG2-SH-1 HIGH IND PRK,,E CAMDEN,CALHOUN,05013,AR,ARKANSAS,UNITED STATES,71701,N,,N,,4,06,STATIONARY,N,V,,FLINT INK,,,,,,,,,71701,AR,CAMDEN,OUACHITA COUNTY,05103,US,,IRREGULAR,,01-MAR-00,06-AUG-10,REFRESH,,N,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,ALD983173881,110003375106,"VICTORY INK CO., INC.",131 WEST OXMORE ROAD SUITE 123,,BIRMINGHAM,JEFFERSON,01073,AL,ALABAMA,UNITED STATES,35209,N,,N,,,04,STATIONARY,Y,V,,VCTRY INK,131 W OXMOOR RD,131,W OXMOOR RD,OXMOOR,W,,,RD,35209,AL,BIRMINGHAM,JEFFERSON COUNTY,01073,US,"131 W OXMOOR RD, BIRMINGHAM, AL  35209 US",REGULAR URBAN,,01-MAR-00,26-JAN-12,REFRESH,,N,,,,,Y,,36072550,FRS,110003375106,33.44622,-86.84113,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,BIRMINGHAM,JEFFERSON COUNTY,35209,AL,01073,03150202,,010730107064039,07,,Birmingham Area,,Birmingham,Birmingham,
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,MDR000006817,110006511578,VISIONS INK INC,6909 OLD ALEXANDER FERRY RD,,CLINTON,PRINCE GEORGES,24033,MD,MARYLAND,UNITED STATES,20735-1746,N,,N,,,03,STATIONARY,Y,V,,VISIONS INK,6909 OLD ALEXANDRIA FERRY RD,6909,OLD ALEXANDRIA FERRY RD,OLD ALEXANDRIA FERRY,,,,RD,20735,MD,CLINTON,PRINCE GEORGE'S COUNTY,24033,US,"6909 OLD ALEXANDRIA FERRY RD, CLINTON, MD  20735 US",REGULAR URBAN,,01-MAR-00,26-JAN-12,BATCH,,N,,,,,Y,,35719948,FRS,110006511578,38.78393,-76.88605,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,CLINTON,PRINCE GEORGE'S COUNTY,20735,MD,24033,02070010,,240338011042044,05,,Washington Area,,Washington,,Washington
"32591",PRIMARY,RCRAINFO,PRINTING INK MANUFACTURING,RCRAINFO,CAL000368207,110066093042,NEXT DAY PRINTED TEES,3523 MAIN,,CHULA VISTA,SAN DIEGO,06073,CA,CALIFORNIA,U.S.A.,91911,N,,N,,,09,STATIONARY,Y,V,,NEXT DAY PRINTED TEES,3523 MAIN ST,3523,MAIN ST,MAIN,,,,ST,91911,CA,CHULA VISTA,SAN DIEGO COUNTY,06073,US,"3523 MAIN ST, CHULA VISTA, CA  91911 US",,10-SEP-15,14-OCT-15,,REFRESH,,N,,,,,Y,,33784370,FRS,110066093042,32.59282,-117.05756,FRS-GEOCODE,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,30,30,CHULA VISTA,SAN DIEGO COUNTY,91911,CA,06073,18070304,,060730133082002,51,Y,San Diego,,,,San Diego County
